TABLE: DBA.ws_InvoiceHeader
    "sp_deduct_perc": 0,
    "sp_deduct": 0,
    "tb_deduct_perc": 0,
    "tb_deduct": 0,
    "main_brand": "N",
    "salesman_id": null,
    "manual_number": null,
    "paint_settl": "N",
    "ei_status": "Valid",
    "ei_submissionId": "AKKA68SZ88SA4DDT1G7893DK10",
    "ei_uuid": "4da3c5edcc7a53d5ac931b772fe4fa2bda1e0c5f69514350fe27435354921442",
    "ei_longId": "ZZ8PBEQ4VY6HTCVR4G7893DK10rFYY1l1766415670",
    "ei_errorText": "",
    "claim_code": null,
    "print_date": "2025-12-22 17:00:04.888000",
    "print_times": 3,
    "print_user": "cashier.k2",
    "print_pc": "Katameya-Cashier",
    "store_id": null,
    "customer_name": null,
    "customer_mobile": null,
    "total_value": 0,
    "total_discount": 0,
    "total_tax": 0,
    "total_amount": 0,
    "sc_quotation_id": null,
    "notes": null,
    "dp_invoiceid": null,
    "dp_invoicetype": null,
    "dp_value": 0,
    "sc_quotation_location_id": null,
    "dp_location_id": null,
    "lbr_ptax_percent": 3,
    "sp_ptax_percent": 1,
    "po_no": null,
    "insurance_settl": "N",
    "cost_post_flag": "N",
    "lbr_ptax_value": 0,
    "sp_ptax_value": 0
  }
]
